,0
0,-1.1007661536537374
1,-1.045363887641496
2,-1.003622454344602
3,-1.1538916142134206
4,-1.2297851292986828
5,-1.2525531838242614
6,-1.199427723264578
7,-1.197909852962873
8,-1.1903205014543465
9,-1.135677170592958
10,-1.0886231912400957
11,-1.0150064816073912
12,-1.2184011020358936
13,-1.269249757143019
14,-1.2517942486734086
15,-1.2168832317341882
16,-1.2108117505273674
17,-1.2191600371867461
18,-1.1531326790625682
19,-1.0954536075977688
20,-1.0559889797534328
21,-1.215365361432483
22,-1.291258876517745
23,-1.2684908219921662
24,-1.249517443220851
25,-1.2563478595785245
26,-1.2237136480918618
27,-1.1880436960017886
28,-1.1235342081793156
29,-1.0924178669943585
30,-1.2525531838242614
31,-1.333000309814639
32,-1.3185805419484393
33,-1.3223752177027024
34,-1.2996071631771238
35,-1.2700086922938716
36,-1.2282672589969774
37,-1.173623928135589
38,-1.1280878190844317
39,-1.2586246650310824
40,-1.3709470673572703
41,-1.3481790128316915
42,-1.3178216067975868
43,-1.3064375795347973
44,-1.2624193407853455
45,-1.2275083238461248
46,-1.1569273548168313
47,-1.129605689386137
48,-1.2662140165396085
49,-1.3428664667757235
50,-1.3322413746637862
51,-1.2867052656126294
52,-1.2904999413668925
53,-1.2829105898583661
54,-1.2449638323157353
55,-1.161480965721947
56,-1.173623928135589
57,-1.3261698934569655
58,-1.3496968831333969
59,-1.3185805419484393
60,-1.3269288286078178
61,-1.2783569789532505
62,-1.2563478595785245
63,-1.2039813341696937
64,-1.1690703172304728
65,-1.19715091781202
66,-1.3261698934569655
67,-1.3527326237368071
68,-1.3345181801163442
69,-1.3360360504180495
70,-1.3223752177027024
71,-1.2669729516904615
72,-1.2449638323157353
73,-1.185766890549231
74,-1.254829989276819
75,-1.3519736885859546
76,-1.3944740570337013
77,-1.3390717910214602
78,-1.3284466989095234
79,-1.3018839686296817
80,-1.2684908219921662
81,-1.2184011020358936
82,-1.159204160269389
83,-1.2464817026174404
84,-1.3360360504180495
85,-1.3717060025081227
86,-1.3307235043620813
87,-1.3284466989095234
88,-1.3094733201382078
89,-1.257106794729377
90,-1.2191600371867461
91,-1.1554094845151262
92,-1.175141798437294
93,-1.3163037364958816
94,-1.3777774837149437
95,-1.3284466989095234
96,-1.3147858661941763
97,-1.28974100621604
98,-1.2821516547075136
99,-1.1986687881137252
100,-1.175141798437294
101,-1.1106323106148215
102,-1.2609014704836403
103,-1.3117501255907655
104,-1.3322413746637862
105,-1.285187395310924
106,-1.2889820710651871
107,-1.261660405634493
108,-1.2176421668850406
109,-1.1804543444932625
110,-1.0984893482011795
111,-1.2844284601600715
112,-1.3200984122501447
113,-1.3178216067975868
114,-1.3117501255907655
115,-1.2639372110870508
116,-1.2191600371867461
117,-1.1850079553983783
118,-1.1455433275540419
119,-1.0446049524906431
120,-1.1683113820796205
121,-1.2859463304617769
122,-1.3216162825518498
123,-1.2760801735006926
124,-1.2760801735006926
125,-1.2487585080699983
126,-1.2077760099239567
127,-1.149338003308305
128,-1.0681319421670747
129,-1.0400513415855277
130,-1.177418603889852
131,-1.2578657298802298
132,-1.2821516547075136
133,-1.249517443220851
134,-1.2449638323157353
135,-1.2199189723375987
136,-1.1721060578338836
137,-1.0840695803349798
138,-1.0415692118872328
139,-1.015765416758244
140,-1.1963919826611675
141,-1.247240637768293
142,-1.225231518393567
143,-1.2168832317341882
144,-1.2047402693205462
145,-1.1667935117779153
146,-1.1204984675759053
147,-1.0423281470380856
148,-0.9641578265002658
149,-1.0681319421670747
150,-1.2244725832427144
151,-1.2259904535444197
152,-1.2077760099239567
153,-1.1850079553983783
154,-1.1721060578338836
155,-1.1364361057438106
156,-1.0605425906585484
157,-1.0089350004005704
158,-1.1607220305710944
159,-1.2479995729191453
160,-1.2798748492549556
161,-1.1895615663034937
162,-1.1629988360236523
163,-1.1447843924031893
164,-1.122016337877611
165,-1.0461228227923487
166,-0.9785775943664654
167,-1.177418603889852
168,-1.2836695250092185
169,-1.2920178116685979
170,-1.2259904535444197
171,-1.2343387402037986
172,-1.2017045287171357
173,-1.159204160269389
174,-1.1167037918216425
175,-1.0795159694298642
176,-1.2502763783717035
