Seconds,Ice Ice Baby
0.0,-10.99235025707593
0.01,-11.066199408677043
0.02,-11.019283830892892
0.03,-9.691008532554148
0.04,-10.698435434684525
0.05,-10.01800866111451
0.06,-9.663747656739249
0.07,-8.037298925342425
0.08,-7.650376987527653
0.09,-8.366929933170123
0.1,-9.45623460555229
0.11,-6.6931366289659975
0.12,-6.856879402633935
0.13,-6.827887150191687
0.14,-6.863997207976362
0.15,-6.926125193464651
0.16,-7.056355969787743
0.17,-6.254933587628039
0.18,-8.22794771788852
0.19,-8.976539830880498
0.2,-7.195587444462531
0.21,-9.147819242192195
0.22,-9.70256268093107
0.23,-9.075027299835831
0.24,-9.931243007273116
0.25,-9.059092056895173
0.26,-10.293311915534185
0.27,-11.454308546248896
0.28,-10.076162262975366
0.29,-10.34311337484158
0.3,-9.3969631742958
0.31,-9.266344257372232
0.32,-9.646417951909008
0.33,-8.393238554644938
0.34,-7.651437265744166
0.35,-8.184519776009687
0.36,-8.341410236775198
0.37,-8.139683879469498
0.38,-9.771716718829474
0.39,-8.025348345799436
0.4,-6.103280116845761
0.41,-7.410067051192534
0.42,-6.565348552202964
0.43,-7.116204828920251
0.44,-8.506712131733673
0.45,-8.173123620944386
0.46,-9.415585512782702
0.47,-9.1108588321155
0.48,-10.861167552862224
0.49,-11.00114268561808
0.5,-11.12596795321226
0.51,-9.960532689393707
0.52,-12.013187739744131
0.53,-9.975515491557768
0.54,-9.863951319722036
0.55,-10.163251099438686
0.56,-9.571438019988346
0.57,-7.102607944493
0.58,-8.294030975137636
0.59,-8.166917528899141
0.6,-6.991367092096117
0.61,-7.855005133038614
0.62,-7.626097074880381
0.63,-5.027454452385132
0.64,-6.7581744981612015
0.65,-7.2713082883990205
0.66,-7.658718204720114
0.67,-7.923525697873118
0.68,-7.520153421841784
0.69,-8.447638695231005
0.7,-8.17852569335328
0.71,-7.773301470151411
0.72,-9.931330816239974
0.73,-11.714897014041869
0.74,-10.099009890458616
0.75,-9.948434784868962
0.76,-11.289992944070123
0.77,-10.311952385736264
0.78,-10.457831109321605
0.79,-9.175459050747648
0.8,-9.4007071509468
0.81,-9.437679590907068
0.82,-10.437840803183112
0.83,-7.481947020935868
0.84,-7.948653119562786
0.85,-7.6901912791242015
0.86,-8.250048855663096
0.87,-8.890295519323633
0.88,-7.538282916049121
0.89,-8.622336926567783
0.9,-7.495558912752107
0.91,-7.484174433716804
0.92,-7.087757228005045
0.93,-7.280070182659389
0.94,-6.9826024903927575
0.95,-6.826154634620754
0.96,-8.078893360651831
0.97,-9.25596733741116
0.98,-10.967681956163144
0.99,-11.173028886727677
1.0,-8.20271572773667
1.01,-10.528950663853651
1.02,-9.537920826419754
1.03,-9.060166894527582
1.04,-9.984177895538576
1.05,-8.368994941821377
1.06,-8.0197989276995
1.07,-7.7719227724062305
1.08,-9.29279443501068
1.09,-8.371948994196366
1.1,-8.486625156360784
1.11,-8.557038646014641
1.12,-8.163427314024494
1.13,-6.539234261882558
1.14,-6.222420094017438
1.15,-7.612350164707441
1.16,-6.826863555234627
1.17,-6.269318807617346
1.18,-7.715795529853194
1.19,-5.761213439483225
1.2,-6.45458159861796
1.21,-7.576723021077941
1.22,-9.136401909880547
1.23,-8.681697418677421
1.24,-10.151175530833006
1.25,-10.426185272314624
1.26,-10.24889577419343
1.27,-11.527613495969849
1.28,-10.23124720418058
1.29,-10.353145144946248
1.3,-10.77948078455619
1.31,-9.605793093050252
1.32,-9.302668927543154
1.33,-10.154473490539337
1.34,-8.409520262355334
1.35,-7.934299501119952
1.36,-6.771159301504996
1.37,-6.338730848894957
1.38,-6.813677797276916
1.39,-7.503522920031774
1.4,-6.741739763471894
1.41,-7.326031602030952
1.42,-7.502006037021381
1.43,-6.749160228100763
1.44,-7.832480021652979
1.45,-6.541267299849391
1.46,-6.461047188956577
1.47,-8.470584142642753
1.48,-9.73459000597386
1.49,-11.734689974307145
1.5,-10.142113152551616
1.51,-10.571883330930396
1.52,-10.543763556640258
1.53,-9.968038704859897
1.54,-9.196659070498116
1.55,-10.0777746313746
1.56,-9.591505286583583
1.57,-8.458854104650024
1.58,-9.989047794634644
1.59,-8.038252833156893
1.6,-8.866835669756592
1.61,-8.291042999740586
1.62,-9.629210698275845
1.63,-8.524084493728974
1.64,-5.1246052214184665
1.65,-7.167200453508842
1.66,-7.502441824177477
1.67,-7.754528207071268
1.68,-7.052770071603216
1.69,-5.105818991271042
1.7,-5.019303919362349
1.71,-4.839744048220208
1.72,-7.119879271004099
1.73,-8.587841132279136
1.74,-10.69891155867366
1.75,-10.37071335132721
1.76,-12.540333904097398
1.77,-11.045239308855262
1.78,-9.748248129517822
1.79,-9.811778154653638
1.8,-10.53901253955891
1.81,-9.694854881578976
1.82,-8.730122658531835
1.83,-9.274143245557925
1.84,-7.780922040027245
1.85,-8.55450271355536
1.86,-7.012826398548896
1.87,-8.416423988832992
1.88,-7.062113952331027
1.89,-6.615722052224833
1.9,-7.233067017267571
1.91,-6.888684819109437
1.92,-6.617232561972094
1.93,-6.846412895438411
1.94,-8.035352980789511
1.95,-5.710608077325308
1.96,-5.674988726845903
